snapshot_date,origin,dest,airline,dep_date,days_to_dep,min_fare,currency
2025-01-16,BER,LHR,LH,2025-01-19,3,177.96,USD
2025-01-16,BER,LHR,EW,2025-01-19,3,172.57,USD
2025-01-16,BER,LHR,U2,2025-01-19,3,142.65,USD
2025-01-12,BER,LHR,BA,2025-01-19,7,170.2,USD
2025-01-12,BER,LHR,LH,2025-01-19,7,143.62,USD
2025-01-12,BER,LHR,EW,2025-01-19,7,159.97,USD
2025-01-12,BER,LHR,U2,2025-01-19,7,142.91,USD
2025-01-05,BER,LHR,BA,2025-01-19,14,147.75,USD
2025-01-05,BER,LHR,LH,2025-01-19,14,140.37,USD
2025-01-05,BER,LHR,EW,2025-01-19,14,150.54,USD
2025-01-05,BER,LHR,U2,2025-01-19,14,150.15,USD
2025-01-19,BER,LHR,BA,2025-01-20,1,169.73,USD
2025-01-19,BER,LHR,LH,2025-01-20,1,164.29,USD
2025-01-19,BER,LHR,EW,2025-01-20,1,187.61,USD
2025-01-19,BER,LHR,U2,2025-01-20,1,174.55,USD
2025-01-17,BER,LHR,BA,2025-01-20,3,137.57,USD
2025-01-17,BER,LHR,LH,2025-01-20,3,150.47,USD
2025-01-17,BER,LHR,EW,2025-01-20,3,125.33,USD
2025-01-17,BER,LHR,U2,2025-01-20,3,102.84,USD
2025-01-13,BER,LHR,BA,2025-01-20,7,130.99,USD
2025-01-13,BER,LHR,LH,2025-01-20,7,135.33,USD
2025-01-13,BER,LHR,EW,2025-01-20,7,126.44,USD
2025-01-13,BER,LHR,U2,2025-01-20,7,154.04,USD
2025-01-06,BER,LHR,BA,2025-01-20,14,123.71,USD
2025-01-06,BER,LHR,LH,2025-01-20,14,108.9,USD
2025-01-06,BER,LHR,EW,2025-01-20,14,135.66,USD
2025-01-06,BER,LHR,U2,2025-01-20,14,105.8,USD
2025-01-20,BER,LHR,BA,2025-01-21,1,157.32,USD
2025-01-20,BER,LHR,LH,2025-01-21,1,174.25,USD
2025-01-20,BER,LHR,EW,2025-01-21,1,192.33,USD
2025-01-20,BER,LHR,U2,2025-01-21,1,139.39,USD
2025-01-18,BER,LHR,BA,2025-01-21,3,137.09,USD
2025-01-18,BER,LHR,LH,2025-01-21,3,129.08,USD
2025-01-18,BER,LHR,EW,2025-01-21,3,124.71,USD
2025-01-18,BER,LHR,U2,2025-01-21,3,103.26,USD
2025-01-14,BER,LHR,BA,2025-01-21,7,157.58,USD
2025-01-14,BER,LHR,LH,2025-01-21,7,109.48,USD
2025-01-14,BER,LHR,EW,2025-01-21,7,128.95,USD
2025-01-14,BER,LHR,U2,2025-01-21,7,130.37,USD
2025-01-07,BER,LHR,BA,2025-01-21,14,121.33,USD
2025-01-07,BER,LHR,LH,2025-01-21,14,111.15,USD
2025-01-07,BER,LHR,EW,2025-01-21,14,140.38,USD
2025-01-07,BER,LHR,U2,2025-01-21,14,133.85,USD
2025-01-21,BER,LHR,BA,2025-01-22,1,222.13,USD
2025-01-21,BER,LHR,LH,2025-01-22,1,151.97,USD
2025-01-21,BER,LHR,EW,2025-01-22,1,161.63,USD
2025-01-21,BER,LHR,U2,2025-01-22,1,161.68,USD
2025-01-19,BER,LHR,BA,2025-01-22,3,129.11,USD
2025-01-19,BER,LHR,LH,2025-01-22,3,132.05,USD
2025-01-19,BER,LHR,EW,2025-01-22,3,141.06,USD
2025-01-19,BER,LHR,U2,2025-01-22,3,176.83,USD
2025-01-15,BER,LHR,BA,2025-01-22,7,137.27,USD
2025-01-15,BER,LHR,LH,2025-01-22,7,153.97,USD
2025-01-15,BER,LHR,EW,2025-01-22,7,132.19,USD
2025-01-15,BER,LHR,U2,2025-01-22,7,150.12,USD
2025-01-08,BER,LHR,BA,2025-01-22,14,118.43,USD
2025-01-08,BER,LHR,LH,2025-01-22,14,126.19,USD
2025-01-08,BER,LHR,EW,2025-01-22,14,128.33,USD
2025-01-08,BER,LHR,U2,2025-01-22,14,118.45,USD
2025-01-22,BER,LHR,BA,2025-01-23,1,201.93,USD
2025-01-22,BER,LHR,LH,2025-01-23,1,172.84,USD
2025-01-22,BER,LHR,EW,2025-01-23,1,188.24,USD
2025-01-22,BER,LHR,U2,2025-01-23,1,167.46,USD
2025-01-20,BER,LHR,BA,2025-01-23,3,143.84,USD
2025-01-20,BER,LHR,LH,2025-01-23,3,160.23,USD
2025-01-20,BER,LHR,EW,2025-01-23,3,137.85,USD
2025-01-20,BER,LHR,U2,2025-01-23,3,114.29,USD
2025-01-16,BER,LHR,BA,2025-01-23,7,147.01,USD
2025-01-16,BER,LHR,LH,2025-01-23,7,139.82,USD
2025-01-16,BER,LHR,EW,2025-01-23,7,127.87,USD
2025-01-16,BER,LHR,U2,2025-01-23,7,123.5,USD
2025-01-09,BER,LHR,BA,2025-01-23,14,125.57,USD
2025-01-09,BER,LHR,LH,2025-01-23,14,108.02,USD
2025-01-09,BER,LHR,EW,2025-01-23,14,112.02,USD
2025-01-09,BER,LHR,U2,2025-01-23,14,128.65,USD
2025-01-23,BER,LHR,BA,2025-01-24,1,156.99,USD
2025-01-23,BER,LHR,LH,2025-01-24,1,168.51,USD
2025-01-23,BER,LHR,EW,2025-01-24,1,208.95,USD
2025-01-23,BER,LHR,U2,2025-01-24,1,178.52,USD
2025-01-21,BER,LHR,BA,2025-01-24,3,149.32,USD
2025-01-21,BER,LHR,LH,2025-01-24,3,134.76,USD
2025-01-21,BER,LHR,EW,2025-01-24,3,186.05,USD
2025-01-21,BER,LHR,U2,2025-01-24,3,129.51,USD
2025-01-17,BER,LHR,BA,2025-01-24,7,132.47,USD
2025-01-17,BER,LHR,LH,2025-01-24,7,176.06,USD
2025-01-17,BER,LHR,EW,2025-01-24,7,146.54,USD
2025-01-17,BER,LHR,U2,2025-01-24,7,140.72,USD
2025-01-10,BER,LHR,BA,2025-01-24,14,119.98,USD
2025-01-10,BER,LHR,LH,2025-01-24,14,114.05,USD
2025-01-10,BER,LHR,EW,2025-01-24,14,160.08,USD
2025-01-10,BER,LHR,U2,2025-01-24,14,154.64,USD
2025-01-24,BER,LHR,BA,2025-01-25,1,221.54,USD
2025-01-24,BER,LHR,LH,2025-01-25,1,186.9,USD
2025-01-24,BER,LHR,EW,2025-01-25,1,160.32,USD
2025-01-24,BER,LHR,U2,2025-01-25,1,168.95,USD
2025-01-22,BER,LHR,BA,2025-01-25,3,137.13,USD
2025-01-22,BER,LHR,LH,2025-01-25,3,155.88,USD
2025-01-22,BER,LHR,EW,2025-01-25,3,162.44,USD
2025-01-22,BER,LHR,U2,2025-01-25,3,153.33,USD
2025-01-18,BER,LHR,BA,2025-01-25,7,141.24,USD
2025-01-18,BER,LHR,LH,2025-01-25,7,153.83,USD
2025-01-18,BER,LHR,EW,2025-01-25,7,149.81,USD
2025-01-18,BER,LHR,U2,2025-01-25,7,129.12,USD
2025-01-11,BER,LHR,BA,2025-01-25,14,142.35,USD
2025-01-11,BER,LHR,LH,2025-01-25,14,157.53,USD
2025-01-11,BER,LHR,EW,2025-01-25,14,170.58,USD
2025-01-11,BER,LHR,U2,2025-01-25,14,165.89,USD
2025-01-25,BER,LHR,BA,2025-01-26,1,182.97,USD
2025-01-25,BER,LHR,LH,2025-01-26,1,233.52,USD
2025-01-25,BER,LHR,EW,2025-01-26,1,193.5,USD
2025-01-25,BER,LHR,U2,2025-01-26,1,179.7,USD
2025-01-23,BER,LHR,BA,2025-01-26,3,149.34,USD
2025-01-23,BER,LHR,LH,2025-01-26,3,167.11,USD
2025-01-23,BER,LHR,EW,2025-01-26,3,153.27,USD
2025-01-23,BER,LHR,U2,2025-01-26,3,134.99,USD
2025-01-19,BER,LHR,BA,2025-01-26,7,194.11,USD
2025-01-19,BER,LHR,LH,2025-01-26,7,158.42,USD
2025-01-19,BER,LHR,EW,2025-01-26,7,146.68,USD
2025-01-19,BER,LHR,U2,2025-01-26,7,141.03,USD
2025-01-12,BER,LHR,BA,2025-01-26,14,121.63,USD
2025-01-12,BER,LHR,LH,2025-01-26,14,110.92,USD
2025-01-12,BER,LHR,EW,2025-01-26,14,117.12,USD
2025-01-12,BER,LHR,U2,2025-01-26,14,154.54,USD
2025-01-26,BER,LHR,BA,2025-01-27,1,197.27,USD
2025-01-26,BER,LHR,LH,2025-01-27,1,217.82,USD
2025-01-26,BER,LHR,EW,2025-01-27,1,181.92,USD
2025-01-26,BER,LHR,U2,2025-01-27,1,175.59,USD
2025-01-24,BER,LHR,BA,2025-01-27,3,129.81,USD
2025-01-24,BER,LHR,LH,2025-01-27,3,110.77,USD
2025-01-24,BER,LHR,EW,2025-01-27,3,160.08,USD
2025-01-24,BER,LHR,U2,2025-01-27,3,166.83,USD
2025-01-20,BER,LHR,BA,2025-01-27,7,112.86,USD
2025-01-20,BER,LHR,LH,2025-01-27,7,122.88,USD
2025-01-20,BER,LHR,EW,2025-01-27,7,122.54,USD
2025-01-20,BER,LHR,U2,2025-01-27,7,125.5,USD
2025-01-13,BER,LHR,BA,2025-01-27,14,143.4,USD
2025-01-13,BER,LHR,LH,2025-01-27,14,127.78,USD
2025-01-13,BER,LHR,EW,2025-01-27,14,150.83,USD
2025-01-13,BER,LHR,U2,2025-01-27,14,132.65,USD
2025-01-27,BER,LHR,BA,2025-01-28,1,209.64,USD
2025-01-27,BER,LHR,LH,2025-01-28,1,166.59,USD
2025-01-27,BER,LHR,EW,2025-01-28,1,175.39,USD
2025-01-27,BER,LHR,U2,2025-01-28,1,176.36,USD
2025-01-25,BER,LHR,BA,2025-01-28,3,147.7,USD
2025-01-25,BER,LHR,LH,2025-01-28,3,152.14,USD
2025-01-25,BER,LHR,EW,2025-01-28,3,110.06,USD
2025-01-25,BER,LHR,U2,2025-01-28,3,122.36,USD
2025-01-21,BER,LHR,BA,2025-01-28,7,131.82,USD
2025-01-21,BER,LHR,LH,2025-01-28,7,118.73,USD
2025-01-21,BER,LHR,EW,2025-01-28,7,119.43,USD
2025-01-21,BER,LHR,U2,2025-01-28,7,139.72,USD
2025-01-14,BER,LHR,BA,2025-01-28,14,125.37,USD
2025-01-14,BER,LHR,LH,2025-01-28,14,102.63,USD
2025-01-14,BER,LHR,EW,2025-01-28,14,125.73,USD
2025-01-14,BER,LHR,U2,2025-01-28,14,114.22,USD
2025-01-28,BER,LHR,BA,2025-01-29,1,133.36,USD
2025-01-28,BER,LHR,LH,2025-01-29,1,162.33,USD
2025-01-28,BER,LHR,EW,2025-01-29,1,198.94,USD
2025-01-28,BER,LHR,U2,2025-01-29,1,148.74,USD
2025-01-26,BER,LHR,BA,2025-01-29,3,134.37,USD
2025-01-26,BER,LHR,LH,2025-01-29,3,143.56,USD
2025-01-26,BER,LHR,EW,2025-01-29,3,137.89,USD
2025-01-26,BER,LHR,U2,2025-01-29,3,140.15,USD
2025-01-22,BER,LHR,BA,2025-01-29,7,112.15,USD
2025-01-22,BER,LHR,LH,2025-01-29,7,154.03,USD
2025-01-22,BER,LHR,EW,2025-01-29,7,112.21,USD
2025-01-22,BER,LHR,U2,2025-01-29,7,142.37,USD
2025-01-15,BER,LHR,BA,2025-01-29,14,120.86,USD
2025-01-15,BER,LHR,LH,2025-01-29,14,117.82,USD
2025-01-15,BER,LHR,EW,2025-01-29,14,115.48,USD
2025-01-15,BER,LHR,U2,2025-01-29,14,112.6,USD
2025-01-29,BER,LHR,BA,2025-01-30,1,144.32,USD
2025-01-29,BER,LHR,LH,2025-01-30,1,175.49,USD
2025-01-29,BER,LHR,EW,2025-01-30,1,176.26,USD
2025-01-29,BER,LHR,U2,2025-01-30,1,138.04,USD
2025-01-27,BER,LHR,BA,2025-01-30,3,138.63,USD
2025-01-27,BER,LHR,LH,2025-01-30,3,105.55,USD
2025-01-27,BER,LHR,EW,2025-01-30,3,111.15,USD
2025-01-27,BER,LHR,U2,2025-01-30,3,139.46,USD
2025-01-23,BER,LHR,BA,2025-01-30,7,131.85,USD
2025-01-23,BER,LHR,LH,2025-01-30,7,135.99,USD
2025-01-23,BER,LHR,EW,2025-01-30,7,126.68,USD
2025-01-23,BER,LHR,U2,2025-01-30,7,121.91,USD
2025-01-16,BER,LHR,BA,2025-01-30,14,159.39,USD
2025-01-16,BER,LHR,LH,2025-01-30,14,128.92,USD
2025-01-16,BER,LHR,EW,2025-01-30,14,143.42,USD
2025-01-16,BER,LHR,U2,2025-01-30,14,128.27,USD
2025-01-30,BER,LHR,BA,2025-01-31,1,233.46,USD
2025-01-30,BER,LHR,LH,2025-01-31,1,192.94,USD
2025-01-30,BER,LHR,EW,2025-01-31,1,206.41,USD
2025-01-30,BER,LHR,U2,2025-01-31,1,203.08,USD
2025-01-28,BER,LHR,BA,2025-01-31,3,130.39,USD
2025-01-28,BER,LHR,LH,2025-01-31,3,162.91,USD
2025-01-28,BER,LHR,EW,2025-01-31,3,175.1,USD
2025-01-28,BER,LHR,U2,2025-01-31,3,173.92,USD
2025-01-24,BER,LHR,BA,2025-01-31,7,141.69,USD
2025-01-24,BER,LHR,LH,2025-01-31,7,138.27,USD
2025-01-24,BER,LHR,EW,2025-01-31,7,144.98,USD
2025-01-24,BER,LHR,U2,2025-01-31,7,159.99,USD
2025-01-17,BER,LHR,BA,2025-01-31,14,128.95,USD
2025-01-17,BER,LHR,LH,2025-01-31,14,134.88,USD
2025-01-17,BER,LHR,EW,2025-01-31,14,142.48,USD
2025-01-17,BER,LHR,U2,2025-01-31,14,169.17,USD
2025-01-01,BER,LHR,BA,2025-01-31,30,135.14,USD
2025-01-01,BER,LHR,LH,2025-01-31,30,127.77,USD
2025-01-01,BER,LHR,EW,2025-01-31,30,114.2,USD
2025-01-01,BER,LHR,U2,2025-01-31,30,162.99,USD
2025-01-31,BER,LHR,BA,2025-02-01,1,187.07,USD
2025-01-31,BER,LHR,LH,2025-02-01,1,176.57,USD
2025-01-31,BER,LHR,EW,2025-02-01,1,211.77,USD
2025-01-31,BER,LHR,U2,2025-02-01,1,194.21,USD
2025-01-29,BER,LHR,BA,2025-02-01,3,128.85,USD
2025-01-29,BER,LHR,LH,2025-02-01,3,159.8,USD
2025-01-29,BER,LHR,EW,2025-02-01,3,192.21,USD
2025-01-29,BER,LHR,U2,2025-02-01,3,120.04,USD
2025-01-25,BER,LHR,BA,2025-02-01,7,138.47,USD
2025-01-25,BER,LHR,LH,2025-02-01,7,153.84,USD
2025-01-25,BER,LHR,EW,2025-02-01,7,169.05,USD
2025-01-25,BER,LHR,U2,2025-02-01,7,138.95,USD
2025-01-18,BER,LHR,BA,2025-02-01,14,171.41,USD
2025-01-18,BER,LHR,LH,2025-02-01,14,156.63,USD
2025-01-18,BER,LHR,EW,2025-02-01,14,133.18,USD
2025-01-18,BER,LHR,U2,2025-02-01,14,139.03,USD
2025-01-02,BER,LHR,BA,2025-02-01,30,112.2,USD
2025-01-02,BER,LHR,LH,2025-02-01,30,147.18,USD
2025-01-02,BER,LHR,EW,2025-02-01,30,136.64,USD
2025-01-02,BER,LHR,U2,2025-02-01,30,144.46,USD
2025-02-01,BER,LHR,BA,2025-02-02,1,212.7,USD
2025-02-01,BER,LHR,LH,2025-02-02,1,229.47,USD
2025-02-01,BER,LHR,EW,2025-02-02,1,205.69,USD
2025-02-01,BER,LHR,U2,2025-02-02,1,186.05,USD
2025-01-30,BER,LHR,BA,2025-02-02,3,153.78,USD
2025-01-30,BER,LHR,LH,2025-02-02,3,172.47,USD
2025-01-30,BER,LHR,EW,2025-02-02,3,164.84,USD
2025-01-30,BER,LHR,U2,2025-02-02,3,146.4,USD
2025-01-26,BER,LHR,BA,2025-02-02,7,141.67,USD
2025-01-26,BER,LHR,LH,2025-02-02,7,161.16,USD
2025-01-26,BER,LHR,EW,2025-02-02,7,158.78,USD
2025-01-26,BER,LHR,U2,2025-02-02,7,160.96,USD
2025-01-19,BER,LHR,BA,2025-02-02,14,140.28,USD
2025-01-19,BER,LHR,LH,2025-02-02,14,137.38,USD
2025-01-19,BER,LHR,EW,2025-02-02,14,151.92,USD
2025-01-19,BER,LHR,U2,2025-02-02,14,125.65,USD
2025-01-03,BER,LHR,BA,2025-02-02,30,93.82,USD
2025-01-03,BER,LHR,LH,2025-02-02,30,144.47,USD
2025-01-03,BER,LHR,EW,2025-02-02,30,110.33,USD
2025-01-03,BER,LHR,U2,2025-02-02,30,157.02,USD
2025-02-02,BER,LHR,BA,2025-02-03,1,153.39,USD
2025-02-02,BER,LHR,LH,2025-02-03,1,169.65,USD
2025-02-02,BER,LHR,EW,2025-02-03,1,190.2,USD
2025-02-02,BER,LHR,U2,2025-02-03,1,159.54,USD
2025-01-31,BER,LHR,BA,2025-02-03,3,127.94,USD
2025-01-31,BER,LHR,LH,2025-02-03,3,127.84,USD
2025-01-31,BER,LHR,EW,2025-02-03,3,122.78,USD
2025-01-31,BER,LHR,U2,2025-02-03,3,140.48,USD
2025-01-27,BER,LHR,BA,2025-02-03,7,153.01,USD
2025-01-27,BER,LHR,LH,2025-02-03,7,130.97,USD
2025-01-27,BER,LHR,EW,2025-02-03,7,145.13,USD
2025-01-27,BER,LHR,U2,2025-02-03,7,142,USD
2025-01-20,BER,LHR,BA,2025-02-03,14,138.52,USD
2025-01-20,BER,LHR,LH,2025-02-03,14,146.73,USD
2025-01-20,BER,LHR,EW,2025-02-03,14,121.98,USD
2025-01-20,BER,LHR,U2,2025-02-03,14,131.26,USD
2025-01-04,BER,LHR,BA,2025-02-03,30,134.94,USD
2025-01-04,BER,LHR,LH,2025-02-03,30,116.48,USD
2025-01-04,BER,LHR,EW,2025-02-03,30,115.95,USD
2025-01-04,BER,LHR,U2,2025-02-03,30,128.55,USD
2025-02-03,BER,LHR,BA,2025-02-04,1,160.85,USD
2025-02-03,BER,LHR,LH,2025-02-04,1,183.49,USD
2025-02-03,BER,LHR,EW,2025-02-04,1,153.68,USD
2025-02-03,BER,LHR,U2,2025-02-04,1,197.22,USD
2025-02-01,BER,LHR,BA,2025-02-04,3,156.81,USD
2025-02-01,BER,LHR,LH,2025-02-04,3,132.8,USD
2025-02-01,BER,LHR,EW,2025-02-04,3,131.31,USD
2025-02-01,BER,LHR,U2,2025-02-04,3,133.48,USD
2025-01-28,BER,LHR,BA,2025-02-04,7,130.68,USD
2025-01-28,BER,LHR,LH,2025-02-04,7,115.02,USD
2025-01-28,BER,LHR,EW,2025-02-04,7,140.01,USD
2025-01-28,BER,LHR,U2,2025-02-04,7,142.04,USD
2025-01-21,BER,LHR,BA,2025-02-04,14,123.79,USD
2025-01-21,BER,LHR,LH,2025-02-04,14,128.82,USD
2025-01-21,BER,LHR,EW,2025-02-04,14,160.27,USD
2025-01-21,BER,LHR,U2,2025-02-04,14,108.08,USD
2025-01-05,BER,LHR,BA,2025-02-04,30,140.18,USD
2025-01-05,BER,LHR,LH,2025-02-04,30,97.8,USD
2025-01-05,BER,LHR,EW,2025-02-04,30,115.11,USD
2025-01-05,BER,LHR,U2,2025-02-04,30,128.34,USD
2025-02-04,BER,LHR,BA,2025-02-05,1,159.28,USD
2025-02-04,BER,LHR,LH,2025-02-05,1,174.47,USD
2025-02-04,BER,LHR,EW,2025-02-05,1,193.65,USD
2025-02-04,BER,LHR,U2,2025-02-05,1,171.1,USD
2025-02-02,BER,LHR,BA,2025-02-05,3,116.52,USD
2025-02-02,BER,LHR,LH,2025-02-05,3,116.96,USD
2025-02-02,BER,LHR,EW,2025-02-05,3,135.46,USD
2025-02-02,BER,LHR,U2,2025-02-05,3,130.3,USD
2025-01-29,BER,LHR,BA,2025-02-05,7,114.51,USD
2025-01-29,BER,LHR,LH,2025-02-05,7,120.73,USD
2025-01-29,BER,LHR,EW,2025-02-05,7,145.18,USD
2025-01-29,BER,LHR,U2,2025-02-05,7,141.38,USD
2025-01-22,BER,LHR,BA,2025-02-05,14,107,USD
2025-01-22,BER,LHR,LH,2025-02-05,14,103.4,USD
2025-01-22,BER,LHR,EW,2025-02-05,14,127.79,USD
2025-01-22,BER,LHR,U2,2025-02-05,14,138.35,USD
2025-01-06,BER,LHR,BA,2025-02-05,30,125.43,USD
2025-01-06,BER,LHR,LH,2025-02-05,30,107.42,USD
2025-01-06,BER,LHR,EW,2025-02-05,30,144.9,USD
2025-01-06,BER,LHR,U2,2025-02-05,30,103.95,USD
2025-02-05,BER,LHR,BA,2025-02-06,1,179.24,USD
2025-02-05,BER,LHR,LH,2025-02-06,1,173.19,USD
2025-02-05,BER,LHR,EW,2025-02-06,1,156.96,USD
2025-02-05,BER,LHR,U2,2025-02-06,1,144.05,USD
2025-02-03,BER,LHR,BA,2025-02-06,3,134.24,USD
2025-02-03,BER,LHR,LH,2025-02-06,3,131.09,USD
2025-02-03,BER,LHR,EW,2025-02-06,3,116.11,USD
2025-02-03,BER,LHR,U2,2025-02-06,3,154.43,USD
2025-01-30,BER,LHR,BA,2025-02-06,7,135.51,USD
2025-01-30,BER,LHR,LH,2025-02-06,7,107.79,USD
2025-01-30,BER,LHR,EW,2025-02-06,7,111.91,USD
2025-01-30,BER,LHR,U2,2025-02-06,7,103.96,USD
2025-01-23,BER,LHR,BA,2025-02-06,14,111.98,USD
2025-01-23,BER,LHR,LH,2025-02-06,14,122.46,USD
2025-01-23,BER,LHR,EW,2025-02-06,14,134.53,USD
2025-01-23,BER,LHR,U2,2025-02-06,14,118.68,USD
2025-01-07,BER,LHR,BA,2025-02-06,30,139.07,USD
2025-01-07,BER,LHR,LH,2025-02-06,30,132.5,USD
2025-01-07,BER,LHR,EW,2025-02-06,30,135.89,USD
2025-01-07,BER,LHR,U2,2025-02-06,30,133.24,USD
2025-02-06,BER,LHR,BA,2025-02-07,1,194.93,USD
2025-02-06,BER,LHR,LH,2025-02-07,1,167.13,USD
2025-02-06,BER,LHR,EW,2025-02-07,1,199.2,USD
2025-02-06,BER,LHR,U2,2025-02-07,1,189.18,USD
2025-02-04,BER,LHR,BA,2025-02-07,3,165.41,USD
2025-02-04,BER,LHR,LH,2025-02-07,3,153.68,USD
2025-02-04,BER,LHR,EW,2025-02-07,3,130.58,USD
2025-02-04,BER,LHR,U2,2025-02-07,3,134.85,USD
2025-01-31,BER,LHR,BA,2025-02-07,7,152.57,USD
2025-01-31,BER,LHR,LH,2025-02-07,7,177.49,USD
2025-01-31,BER,LHR,EW,2025-02-07,7,137.24,USD
2025-01-31,BER,LHR,U2,2025-02-07,7,148.11,USD
2025-01-24,BER,LHR,BA,2025-02-07,14,126.95,USD
2025-01-24,BER,LHR,LH,2025-02-07,14,126.49,USD
2025-01-24,BER,LHR,EW,2025-02-07,14,156.02,USD
2025-01-24,BER,LHR,U2,2025-02-07,14,117.5,USD
2025-01-08,BER,LHR,BA,2025-02-07,30,146.31,USD
2025-01-08,BER,LHR,LH,2025-02-07,30,117.53,USD
2025-01-08,BER,LHR,EW,2025-02-07,30,137.84,USD
2025-01-08,BER,LHR,U2,2025-02-07,30,162.95,USD
2025-02-07,BER,LHR,BA,2025-02-08,1,175.32,USD
2025-02-07,BER,LHR,LH,2025-02-08,1,175.31,USD
2025-02-07,BER,LHR,EW,2025-02-08,1,208.02,USD
2025-02-07,BER,LHR,U2,2025-02-08,1,206,USD
2025-02-05,BER,LHR,BA,2025-02-08,3,199.06,USD
2025-02-05,BER,LHR,LH,2025-02-08,3,159.23,USD
